x,y
5.10697e-08,6.371e+06
1.53209e-07,6.371e+06
3.06418e-07,6.371e+06
5.10697e-07,6.371e+06
7.66045e-07,6.371e+06
1.07246e-06,6.371e+06
1.42995e-06,6.371e+06
1.83851e-06,6.371e+06
2.29814e-06,6.371e+06
2.80883e-06,6.371e+06
3.3706e-06,6.371e+06
3.98343e-06,6.371e+06
4.64734e-06,6.37101e+06
5.36232e-06,6.37101e+06
6.12836e-06,6.37101e+06
6.94547e-06,6.37101e+06
7.81366e-06,6.37101e+06
8.73291e-06,6.37101e+06
9.70323e-06,6.37101e+06
1.07246e-05,6.37101e+06
1.17971e-05,6.37101e+06
1.29206e-05,6.37101e+06
1.40952e-05,6.37102e+06
1.53209e-05,6.37102e+06
1.65976e-05,6.37102e+06
1.79254e-05,6.37102e+06
1.93043e-05,6.37102e+06
2.07343e-05,6.37102e+06
2.22153e-05,6.37103e+06
2.37474e-05,6.37103e+06
2.53305e-05,6.37103e+06
2.69648e-05,6.37103e+06
2.86501e-05,6.37103e+06
3.03864e-05,6.37103e+06
3.21738e-05,6.37104e+06
3.40124e-05,6.37104e+06
3.59019e-05,6.37104e+06
3.78426e-05,6.37104e+06
3.98343e-05,6.37105e+06
4.18771e-05,6.37105e+06
4.39709e-05,6.37105e+06
4.61158e-05,6.37105e+06
4.83118e-05,6.37105e+06
5.05589e-05,6.37106e+06
5.2857e-05,6.37106e+06
5.52062e-05,6.37106e+06
5.76064e-05,6.37107e+06
6.00578e-05,6.37107e+06
6.25602e-05,6.37107e+06
6.51136e-05,6.37107e+06
6.77182e-05,6.37108e+06
7.03738e-05,6.37108e+06
7.30804e-05,6.37108e+06
7.58382e-05,6.37109e+06
7.8647e-05,6.37109e+06
8.15069e-05,6.37109e+06
8.44178e-05,6.3711e+06
8.73798e-05,6.3711e+06
9.03929e-05,6.3711e+06
9.34571e-05,6.37111e+06
9.65723e-05,6.37111e+06
9.97386e-05,6.37111e+06
0.000102956,6.37112e+06
0.000106224,6.37112e+06
0.000109544,6.37112e+06
0.000112914,6.37113e+06
0.000116336,6.37113e+06
0.000119809,6.37114e+06
0.000123333,6.37114e+06
0.000126907,6.37114e+06
0.000130533,6.37115e+06
0.00013421,6.37115e+06
0.000137938,6.37116e+06
0.000141717,6.37116e+06
0.000145548,6.37117e+06
0.000149429,6.37117e+06
0.000153361,6.37117e+06
0.000157344,6.37118e+06
0.000161379,6.37118e+06
0.000165464,6.37119e+06
0.000169601,6.37119e+06
0.000173789,6.3712e+06
0.000178027,6.3712e+06
0.000182317,6.37121e+06
0.000186658,6.37121e+06
0.00019105,6.37122e+06
0.000195493,6.37122e+06
0.000199987,6.37123e+06
0.000204532,6.37123e+06
0.000209128,6.37124e+06
0.000213775,6.37124e+06
0.000218474,6.37125e+06
0.000223223,6.37125e+06
0.000228024,6.37126e+06
0.000232875,6.37126e+06
0.000237778,6.37127e+06
0.000242731,6.37128e+06
0.000247736,6.37128e+06
0.000252792,6.37129e+06
0.000257899,6.37129e+06
0.000263056,6.3713e+06
0.000268265,6.37131e+06
0.000273525,6.37131e+06
0.000278837,6.37132e+06
0.000284199,6.37132e+06
0.000289612,6.37133e+06
0.000295076,6.37134e+06
0.000300592,6.37134e+06
0.000306158,6.37135e+06
0.000311776,6.37135e+06
0.000317444,6.37136e+06
0.000323164,6.37137e+06
0.000328934,6.37137e+06
0.000334756,6.37138e+06
0.000340629,6.37139e+06
0.000346553,6.37139e+06
0.000352528,6.3714e+06
0.000358554,6.37141e+06
0.000364631,6.37141e+06
0.000370759,6.37142e+06
0.000376938,6.37143e+06
0.000383168,6.37144e+06
0.00038945,6.37144e+06
0.000395782,6.37145e+06
0.000402166,6.37146e+06
0.0004086,6.37146e+06
0.000415086,6.37147e+06
0.000421622,6.37148e+06
0.00042821,6.37149e+06
0.000434849,6.37149e+06
0.000441539,6.3715e+06
0.00044828,6.37151e+06
0.000455072,6.37152e+06
0.000461915,6.37153e+06
0.000468809,6.37153e+06
0.000475754,6.37154e+06
0.00048275,6.37155e+06
0.000489797,6.37156e+06
0.000496896,6.37157e+06
0.000504045,6.37157e+06
0.000511245,6.37158e+06
0.000518497,6.37159e+06
0.0005258,6.3716e+06
0.000533153,6.37161e+06
0.000540558,6.37161e+06
0.000548014,6.37162e+06
0.00055552,6.37163e+06
0.000563078,6.37164e+06
0.000570687,6.37165e+06
0.000578347,6.37166e+06
0.000586058,6.37167e+06
0.000593821,6.37168e+06
0.000601634,6.37168e+06
0.000609498,6.37169e+06
0.000617413,6.3717e+06
0.00062538,6.37171e+06
